DAY,SUBJECT,START TIME,END TIME
MONDAY,CSC 1103,11.30 , 12.50
MONDAY,CSC 1103,11.30 , 12.50
MONDAY,CSC 1103,5.00 , 6.50
MONDAY,CSC 1401,2.00 , 3.20
MONDAY,INFO 2302,3.30 , 4.50
TUESDAY,CSC 1401,2.00 , 3.20
TUESDAY,CSC 1706,11.30 , 12.50
TUESDAY,CSC 1706,5.00 , 6.50
TUESDAY,INFO 2302,3.30 , 4.50
TUESDAY,INFO 2302,5.00 , 6.50
WEDNESDAY,CCUB 2621,9.00 , 11
WEDNESDAY,CSC 1103,11.30 , 12.50
WEDNESDAY,CSC 1401,2.00 , 3.20
WEDNESDAY,CSC 1706,11.30 , 12.50
WEDNESDAY,INFO 2302,3.30 , 4.50
THURSDAY,CSC 1706,11.30 , 12.50
THURSDAY,UNGS 2080,3.30 , 5.20
